School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Alcohol_Weekdays,Alcohol_Weekends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester
Gabriel Pereira,Female,18,Urban,Above 3,Separated,Higher Education,Higher Education,Homemaker,Teacher,Course Preference,Mother,15 to 30 min,2 to 5h,Yes,No,No,No,Yes,Yes,No,No,Good,Moderate,High,Very Low,Very Low,Fair,4,0,11
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,No,Excellent,Moderate,Moderate,Very Low,Very Low,Fair,2,9,11
Gabriel Pereira,Female,15,Urban,Up to 3,Living Together,Primary School,Primary School,Homemaker,other,Other,Mother,Up to 15 min,2 to 5h,Yes,No,No,No,Yes,Yes,Yes,No,Good,Moderate,Low,Low,Moderate,Fair,6,12,13
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Fair,Low,Low,Very Low,Very Low,Very Good,0,14,14
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Near Home,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,No,Good,Moderate,Low,Very Low,Low,Very Good,0,11,13
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,Services,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Low,Very Low,Low,Very Good,6,12,12
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,No,Good,High,High,Very Low,Very Low,Fair,0,13,12
Gabriel Pereira,Female,17,Urban,Above 3,Separated,Higher Education,Higher Education,other,Teacher,Near Home,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,No,No,Good,Very Low,High,Very Low,Very Low,Very Poor,2,10,13
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,High School,Lower Secondary School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Low,Very Low,Very Low,Very Poor,0,15,16
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very Low,Very Low,Very Low,Very Good,0,12,12
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Fair,Moderate,Moderate,Very Low,Low,Poor,2,14,14
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Services,other,Reputation,Father,30 min to 1h,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Low,Low,Very Low,Very Low,Good,0,10,12
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,Higher Education,Health,Services,Course Preference,Father,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Low,Moderate,Very Good,0,12,13
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,Moderate,Very Low,Low,Fair,0,12,12
Gabriel Pereira,Male,15,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Near Home,Other,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,Very High,Low,Very Low,Very Low,Fair,0,14,14
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,other,Near Home,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,High,Very Low,Low,Poor,6,17,17
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,Low,Moderate,Very Low,Low,Poor,10,13,13
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Reputation,Mother,30 min to 1h,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,No,No,Excellent,Moderate,Low,Very Low,Very Low,Good,2,13,14
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Excellent,Very High,Very High,Low,High,Very Good,2,8,8
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,Health,other,Near Home,Father,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very Low,Moderate,Very Low,Moderate,Very Good,6,12,12
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Reputation,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,No,Good,High,Very Low,Very Low,Very Low,Very Poor,0,12,13
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Health,Other,Father,Up to 15 min,Up to 2h,No,Yes,Yes,No,Yes,Yes,Yes,No,Excellent,High,Low,Very Low,Very Low,Very Good,0,11,12
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Very High,Very Low,Very Low,Moderate,Very Good,0,12,13
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,High,Low,High,Very Good,2,10,10
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,Lower Secondary School,Higher Education,Services,Health,Course Preference,Mother,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Low,Very Low,Very Good,2,10,11
